Id,SalePrice
1461,112508.003506
1462,146524.018796
1463,164503.195252
1464,174498.319511
1465,201160.571708
1466,169127.992993
1467,167859.915876
1468,163700.188787
1469,198731.765621
1470,116696.198364
1471,204382.088387
1472,94955.1574888
1473,86883.1267408
1474,148524.882698
1475,118460.702451
1476,332169.778438
1477,237258.802369
1478,294684.515774
1479,262637.676572
1480,414003.799633
1481,315578.427168
1482,216620.704484
1483,169484.226717
1484,163368.314503
1485,189836.320298
1486,190733.136338
1487,295325.446535
1488,249806.623715
1489,175815.260736
1490,189033.904858
1491,183218.045197
1492,111558.094983
1493,199498.86449
1494,303228.946952
1495,305685.576092
1496,208282.114638
1497,173632.17502
1498,145913.532681
1499,158110.192115
1500,141264.195608
1501,156759.815067
1502,135004.756603
1503,255791.1832
1504,245927.717187
1505,213687.724055
1506,188260.240858
1507,219788.748605
1508,215926.922611
1509,157068.08703
1510,146514.850213
1511,139021.257663
1512,158202.852948
1513,160057.437641
1514,154343.903861
1515,154988.233783
1516,171537.252519
1517,149275.933399
1518,142203.535144
1519,204690.073184
1520,123714.341105
1521,118800.034864
1522,184811.926028
1523,102682.5599
1524,118904.660632
1525,113168.704125
1526,127970.649431
1527,107540.129323
1528,134587.504751
1529,127883.995807
1530,169715.031266
1531,113872.228789
1532,106457.204224
1533,138639.30839
1534,121031.331691
1535,130921.733625
1536,113764.14652
1537,93644.0330655
1538,180127.110715
1539,231921.087223
1540,127596.990104
1541,146427.000661
1542,118895.324744
1543,176341.036479
1544,96422.5767704
1545,120066.94763
1546,150104.494558
1547,127525.813156
1548,127479.360211
1549,106663.192542
1550,140450.955066
1551,139438.997699
1552,129127.686714
1553,128142.380223
1554,113703.61116
1555,151302.851218
1556,117669.802086
1557,121146.617002
1558,105320.952424
1559,98502.4880664
1560,155170.838147
1561,130699.507813
1562,116178.916512
1563,116399.286108
1564,148109.820294
1565,144518.231857
1566,220812.706742
1567,104240.884406
1568,214770.331184
1569,131584.906135
1570,142420.273235
1571,106279.307555
1572,127878.580222
1573,210092.138141
1574,143289.364893
1575,214323.591566
1576,224719.739819
1577,173983.281484
1578,156077.897174
1579,134163.009651
1580,192496.962215
1581,138137.845096
1582,124942.13655
1583,308066.178494
1584,210178.879569
1585,130776.622294
1586,82177.0649429
1587,105664.352141
1588,129228.849439
1589,114799.810525
1590,139142.548018
1591,87329.2150187
1592,121823.365126
1593,143781.515763
1594,115109.275856
1595,128244.810562
1596,214214.638517
1597,168860.467606
1598,199563.705415
1599,188270.733753
1600,202442.985857
1601,79269.8523712
1602,117951.100688
1603,97665.1426741
1604,264326.303242
1605,274491.124659
1606,173143.071555
1607,191188.329631
1608,227944.104622
1609,175850.157758
1610,139523.136308
1611,151594.466638
1612,143144.445313
1613,152034.806611
1614,112086.859424
1615,70334.181726
1616,72766.6048551
1617,78771.6293083
1618,104123.78678
1619,132983.187932
1620,202066.961478
1621,125916.53941
1622,131322.955021
